Synset('november.n.01')	november denver nov
Synset('turn.v.07')	grows grow turned turn turns
Synset('period.n.03')	period total amplitude decision charging periods spike
Synset('channel.n.04')	internal ing independent dominates channel distinct long single voltage-dependent rightward travels transmission channels spinal intermediate spatial
Synset('fast.v.01')	fast moore resulting
Synset('resent.v.01')	resented resent
Synset('tend.v.01')	robot tend tending axons tended tion contact latency compositions layer autistic points
Synset('report.v.05')	tech reports covering field functions covered report reported learning reporting policy simulations
Synset('abstract.v.01')	abstract abstracted
Synset('computer_architecture.n.02')	architectures gilbert performance stimuli coherent finally divided location net multi network architecture
Synset('safety_valve.n.01')	escapes model escape
Synset('circle.n.01')	figure edge 14 attend imputation 16 circles circle error open
Synset('conjunction.n.05')	conjunction alignments conjunctions determined alignment
Synset('chain.n.04')	chain chains
Synset('lend_oneself.v.01')	filter applying activity optimal applies apply applied case algorithm
Synset('key.n.01')	minor keys consequences played key
Synset('rate.n.01')	mn high rate rates maximum learning results speed discretization retrieving
Synset('pe.n.01')	obtain pe bound suppose
Synset('evolve.v.02')	evolve evolving system evolves evolved network
Synset('introduction.n.02')	classifier fukunaga introduction problems
Synset('stress.n.01')	stress accents emphasis accent
Synset('length.n.01')	sentence figure set length maximal minimized extended lengths focal hierarchical 306 fixed dendritic unbounded greater order
Synset('scheduling.n.01')	linear act scheduling koza thompson program networks representation programming
Synset('september.n.01')	september sept software approach sep
Synset('telecommunication.n.02')	telecommunication telecommunications
Synset('surgeon.n.01')	pruning surgeon
Synset('public_address_system.n.01')	pa pittsburgh pitts put
Synset('magazine.n.01')	mag magazine ieee
Synset('regulation.n.05')	effective regularisation regularization networks
Synset('rate.n.02')	splitting de study set test optimal differences provided rates 0.01 learning intrinsic error presentations transfer rate success increasing firing maximum misclassification higher
Synset('february.n.01')	feb february
Synset('play.v.15')	play plays
Synset('make.v.19')	rig attempting optimization made makes progress step message
Synset('oblige.v.02')	binds bind bound
Synset('continue.v.10')	continue continues continued
Synset('germany.n.01')	germany frg
Synset('fix.v.07')	fix motion student reach function fixed fixes remaining
Synset('supplement.v.01')	supplemented supplement
Synset('effect.v.02')	bad effect injected effected
Synset('maximize.v.02')	maximize maximizing maximized limit maximizes maximising maximise
Synset('tend.v.02')	tend tended activity suboptimal
Synset('site.n.01')	components site activity common sites stimulate erps
